#AUDIOSCROBBLER/1.1
#TZ/UNKNOWN
#CLIENT/Rockbox ipodvideo $Revision$
#ARTIST	#ALBUM	#TITLE	#TRACKNUM	#LENGTH	#RATING	#TIMESTAMP	#MUSICBRAINZ_TRACKID
Lauryn Hill	The Miseducation Of Lauryn Hill	Doo Wop (That Thing)	5	320	L	1745496312	
Bob Dylan	Bob Dylan's Greatest Hits	It Ain't Me, Babe	4	218	L	1745515240	
Bob Dylan	Bob Dylan's Greatest Hits	Like A Rolling Stone	5	372	L	1745515613	
Bob Dylan	Bob Dylan's Greatest Hits	Mr. Tambourine Man	6	331	L	1745515944	
Bob Dylan	Bob Dylan's Greatest Hits	Subterranean Homesick Blues	7	142	L	1745516087	
Bob Dylan	Bob Dylan's Greatest Hits	I Want You	8	189	L	1745516276	
Bob Dylan	Bob Dylan's Greatest Hits	Positively 4th Street	9	252	L	1745516528	
Bob Dylan	Bob Dylan's Greatest Hits	Just Like A Woman	10	292	L	1745516821	
George Harrison	Brainwashed	Any Road	1	232	L	1745517192	
George Harrison	Brainwashed	P2 Vatican Blues (Last Saturday Night)	2	158	L	1745517351	
George Harrison	Brainwashed	Pisces Fish	3	292	L	1745517642	
George Harrison	Brainwashed	Looking for My Life	4	229	L	1745517872	
George Harrison	Brainwashed	Rising Sun	5	327	L	1745518200	
George Harrison	Brainwashed	Marwa Blues	6	221	L	1745518421	
George Harrison	Brainwashed	Stuck Inside a Cloud	7	244	L	1745518666	
George Harrison	Brainwashed	Run So Far	8	245	L	1745518912	
George Harrison	Brainwashed	Never Get Over You	9	205	L	1745519118	
George Harrison	Brainwashed	Between the Devil and the Deep Blue Sea	10	154	L	1745519272	
George Harrison	Brainwashed	Rocking Chair in Hawaii	11	187	L	1745519460	
George Harrison	Brainwashed	Brainwashed	12	367	L	1745519827	
Jimmy Buffett	Hoot Soundtrack	Wondering Where The Lions Are	1	209	L	1745534702	
Jimmy Buffett	Hoot Soundtrack	Barefootin'	3	146	S	1745534710	
Lauryn Hill	The Miseducation Of Lauryn Hill	Intro	1	47	L	1745534760	
Lauryn Hill	The Miseducation Of Lauryn Hill	Lost Ones	2	333	L	1745535094	
Lauryn Hill	The Miseducation Of Lauryn Hill	Ex-Factor	3	326	L	1745535420	
Lauryn Hill	The Miseducation Of Lauryn Hill	To Zion	4	369	L	1745535790	
Lauryn Hill	The Miseducation Of Lauryn Hill	Doo Wop (That Thing)	5	320	L	1745537518	
Radiohead	OK Computer: OKNOTOK 1997 2017	Let Down	5	296	L	1745537816	47b02a82-c3bf-4647-b894-dd1c8f608e7f
Radiohead	OK Computer: OKNOTOK 1997 2017	Karma Police	6	260	S	1745537829	9e2ad5bc-c6f9-40d2-a36f-3122ee2072a3
Radiohead	OK Computer: OKNOTOK 1997 2017	Electioneering	8	231	S	1745537834	ba0a796c-bd1f-4d4b-85a8-918f217a204a
Radiohead	OK Computer: OKNOTOK 1997 2017	Lucky	11	258	S	1745537850	79047824-f821-4b1a-9893-e0cea1c947dd
Radiohead	OK Computer: OKNOTOK 1997 2017	The Tourist	12	319	S	1745537864	610c0012-6eb4-42a0-b759-3a2532ce0f15
Radiohead	OK Computer: OKNOTOK 1997 2017	I Promise	1	237	L	1745538077	384d9061-ca6a-4e74-a66a-f788ea0049a7
Radiohead	OK Computer: OKNOTOK 1997 2017	Man of War	2	266	S	1745538091	e7bf5ae0-dc12-46d2-8f17-39e3545c74a9
Jimmy Buffett	Living and Dying in 3/4 Time	Pencil Thin Mustache	1	173	L	1745538267	
Jimmy Buffett	Living and Dying in 3/4 Time	Come Monday	2	191	L	1745538459	
Jimmy Buffett	Living and Dying in 3/4 Time	Ringling, Ringling	3	156	L	1745538615	
Jimmy Buffett	Living and Dying in 3/4 Time	Brahma Fear	4	250	L	1745538866	
Jimmy Buffett	Living and Dying in 3/4 Time	Brand New Country Star	5	166	L	1745539032	
Jimmy Buffett	Living and Dying in 3/4 Time	Livingston's Gone to Texas	6	211	L	1745539243	
Jimmy Buffett	Living and Dying in 3/4 Time	The Wino And I Know	7	185	L	1745539429	
Jimmy Buffett	Living and Dying in 3/4 Time	West Nashville Grand Ballroom Gown	8	160	L	1745539589	
Jimmy Buffett	Living and Dying in 3/4 Time	Saxophones	9	202	L	1745539791	
Jimmy Buffett	Living and Dying in 3/4 Time	Ballad of Spider John	10	271	L	1745540062	
Jimmy Buffett	Living and Dying in 3/4 Time	God's Own Drunk	11	379	L	1745540442	
